姓名,职务,任职时间,备注
杨诚成,校长,1945.10-1946.6,安徽省立蚌埠工业职业学校
毕仲翰,校长,1946.7—1946.8,安徽省立蚌埠工业职业学校
校长,1946.9-1947.8,安徽省立蚌埠高级工业职业学校,
校长,1947.9-1948年底,安徽省立工业专科学校,
蔡荫荞,复校委员会、校务委员会主任委员,1949.3—1950.1,安徽省立工业专科学校
临时校务委员会副主任委员,1950.1—1950.7,淮南工业专门学校,
陈盛业,复校委员会、校务委员会副主任委员,1949.2—,安徽省立工业专科学校
吴伯文,临时校务委员会主任委员,1950.7—1950.10,淮南工业专门学校
校务委员会主任委员,1950.10—1951.11,淮南工业专科学校淮南煤矿工业专科学校,
朱皆平,临时校务委员会副主任委员,1950.7—1950.10,淮南工业专门学校
校务委员会副主任委员（主持工作）,1950.10—1951.9,淮南工业专科学校淮南煤矿工业专科学校,
王际岩,校长,1951.11—1953.2,淮南煤矿工业专科学校
孙宗溶,校长,1953.8—1956.12,淮南煤矿工业专科学校
院长,1956.12—1958.9,合肥矿业学院,
校长,1958.9—1962.7,合肥工业大学,
程自立,副校长,1954.12—1964.12,淮南煤矿工业专科学校合肥矿业学院合肥工业大学
李凤五,副校长,1954.1—1955,淮南煤矿工业专科学校
吕季方,副院长、副校长,1956.9—1972.12,合肥矿业学院合肥工业大学
刘正文,代理校长,1963.9—1969.11,合肥工业大学
刘新增,革委会主任,1968.3—1973.2,合肥工业大学
任  时,革委会主任,1974.9—1978.2,淮南煤炭学院
陈  岩,革委会副主任,1974.9—1978.5,淮南煤炭学院
副院长,1978.5—,淮南煤炭学院,
王自启,革委会副主任,1975.3—,淮南煤炭学院
柴登榜,革委会副主任,1975.3—1978.5,淮南煤炭学院
副院长,1978.5—,淮南煤炭学院,
张剑鸣,革委会副主任,1976.6—1978.5,淮南煤炭学院
副院长,1978.5—,淮南煤炭学院,
何晓东,院长,1978.2—1981.6,淮南煤炭学院
院长,1981.6—1983.5,淮南矿业学院,
邵  光,副院长,1978.2—1980.4,淮南煤炭学院
冯震海,副院长,1979.1—1981.6,淮南煤炭学院
副院长,1981.6—1983.5,淮南矿业学院,
副院长（主持行政工作）,1983.5—1983.11,淮南矿业学院,
院长,1983.11—1992.9,淮南矿业学院,
白铭声,副院长,1983.11—1990.7,淮南矿业学院
江传恕,副院长,1983.11—1986.11,淮南矿业学院
副院长,1993.9—1997.7,淮南矿业学院,
郭长海,副院长,1988.3—1990.7,淮南矿业学院
李贤国,副院长,1990.7—1992.9,淮南矿业学院
院长,1992.9—1997.3,淮南矿业学院,
院长,1997.3—1998.7,淮南工业学院,
马  建,副院长,1990.12—1993.9,淮南矿业学院
张文祥,副院长,1992.8—1997.3,淮南矿业学院
副院长,1997.3—1998.7,淮南工业学院,
院长,1998.7—2002.2,淮南工业学院,
校长,2002.2—2007.3,安徽理工大学,
李茂萱,副院长,1992.8—1997.3,淮南矿业学院
1997.3—1997.7,淮南工业学院,,
谢广祥,副院长,1997.7—1999.4,淮南工业学院
张明旭,副院长,1998.8—2002.2,淮南工业学院
副校长,2002.2—2007.3,安徽理工大学,
李西才,副院长,1997.7—2002.2,淮南工业学院
副校长,2002.2—2008.10,安徽理工大学,
程 桦,副院长,1998.8—2002.2,淮南工业学院
副校长,2002.2—2002.7,安徽理工大学,
昝连生,副校长,2003.5—2012.4,安徽理工大学
颜事龙,副校长,2003.5—2007.3,安徽理工大学
校长,2007.3—2013.10,安徽理工大学,
叶醒狮,副校长,2005.12—2016.7,安徽理工大学
刘泽功,副校长,2007.3—2015.7,安徽理工大学
郭永存,副校长,2009.5—2013.12,安徽理工大学
校长,2013.12—2016.6,安徽理工大学,
王其东,副校长,2011.2—2016.6,安徽理工大学
校长,2016.6—2018.3,安徽理工大学,
孟祥瑞,副校长,2012.4—2023.5,安徽理工大学
郑明东,副校长,2016.4—2022.9,安徽理工大学
宫能平,副校长,2017.5—2024.9,安徽理工大学
吴照明,副校长,2017.6—2021.5,安徽理工大学
董  雨,副校长,2017.7—2025.3,安徽理工大学
虞宝桃,常务副校长,2020.11—2022.5,安徽理工大学
梁立昌,副校长,2021.7—2022.6,安徽理工大学
余玉刚,常务副校长,2022.12-2026.1,安徽理工大学
袁 亮,副校长,2017.3—2018.6,安徽理工大学
校长,2018.6至今,安徽理工大学,
